dataset,origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,departure_time
train,Historic Chinatown Gate,47.598437167923336,-122.3273775033157,Pike Place Market,47.60939849082073,-122.3418399195103,driving,1749580510
train,Historic Chinatown Gate,47.598437167923336,-122.3273775033157,Pike Place Market,47.60939849082073,-122.3418399195103,bicycling,1749580510
train,Historic Chinatown Gate,47.598437167923336,-122.3273775033157,Pike Place Market,47.60939849082073,-122.3418399195103,transit,1749580510
train,Historic Chinatown Gate,47.598437167923336,-122.3273775033157,Pike Place Market,47.60939849082073,-122.3418399195103,walking,1749580510
train,International Fountain,47.62250232314546,-122.35208589820942,KidsQuest Children's Museum,47.620827472990946,-122.19594728787486,driving,1749580510
train,International Fountain,47.62250232314546,-122.35208589820942,KidsQuest Children's Museum,47.620827472990946,-122.19594728787486,bicycling,1749580510
train,International Fountain,47.62250232314546,-122.35208589820942,KidsQuest Children's Museum,47.620827472990946,-122.19594728787486,transit,1749580510
train,International Fountain,47.62250232314546,-122.35208589820942,KidsQuest Children's Museum,47.620827472990946,-122.19594728787486,walking,1749580510
train,Jimi Hendrix Statue,47.61550301473619,-122.32071505564883,Wilburton Station - light rail station,47.61794063638405,-122.18378014228747,driving,1749580510
train,Jimi Hendrix Statue,47.61550301473619,-122.32071505564883,Wilburton Station - light rail station,47.61794063638405,-122.18378014228747,bicycling,1749580510
train,Jimi Hendrix Statue,47.61550301473619,-122.32071505564883,Wilburton Station - light rail station,47.61794063638405,-122.18378014228747,transit,1749580510
train,Jimi Hendrix Statue,47.61550301473619,-122.32071505564883,Wilburton Station - light rail station,47.61794063638405,-122.18378014228747,walking,1749580510
train,Seattle Chinese Garden,47.55176640036533,-122.3524959672396,Symphony Station - light rail station,47.607796255776215,-122.33604961270477,driving,1749580510
train,Seattle Chinese Garden,47.55176640036533,-122.3524959672396,Symphony Station - light rail station,47.607796255776215,-122.33604961270477,bicycling,1749580510
train,Seattle Chinese Garden,47.55176640036533,-122.3524959672396,Symphony Station - light rail station,47.607796255776215,-122.33604961270477,transit,1749580510
train,Seattle Chinese Garden,47.55176640036533,-122.3524959672396,Symphony Station - light rail station,47.607796255776215,-122.33604961270477,walking,1749580510
train,Mercerdale Park,47.581023027824706,-122.23493686187616,International Fountain,47.62250232314546,-122.35208589820942,driving,1749580510
train,Mercerdale Park,47.581023027824706,-122.23493686187616,International Fountain,47.62250232314546,-122.35208589820942,bicycling,1749580510
train,Mercerdale Park,47.581023027824706,-122.23493686187616,International Fountain,47.62250232314546,-122.35208589820942,transit,1749580510
train,Mercerdale Park,47.581023027824706,-122.23493686187616,International Fountain,47.62250232314546,-122.35208589820942,walking,1749580510
train,Waterfall Garden,47.60022525656089,-122.33205827262441,Symphony Station - light rail station,47.607796255776215,-122.33604961270477,driving,1749580510
train,Waterfall Garden,47.60022525656089,-122.33205827262441,Symphony Station - light rail station,47.607796255776215,-122.33604961270477,bicycling,1749580510
train,Waterfall Garden,47.60022525656089,-122.33205827262441,Symphony Station - light rail station,47.607796255776215,-122.33604961270477,transit,1749580510
train,Waterfall Garden,47.60022525656089,-122.33205827262441,Symphony Station - light rail station,47.607796255776215,-122.33604961270477,walking,1749580510
train,Hamilton Viewpoint Park,47.59327621149741,-122.38603073234243,Lumen Field,47.595050883007005,-122.3316718890206,driving,1749580510
train,Hamilton Viewpoint Park,47.59327621149741,-122.38603073234243,Lumen Field,47.595050883007005,-122.3316718890206,bicycling,1749580510
